"Item","QUANTITY","Reference","Value","MFG","MFG P/N","DIST","DIST P/N"
"1","1","C4","10pF-5%-50V-0805","Samsung Electro-Mechanics","CL21C100CBANNNC","Digikey","1276-2561-1-ND"
"2","1","C5","330uF 35V","Rubycon","35PZJ330M10X9","Digikey","1189-35PZJ330M10X9-ND"
"3","1","C7","0.01uF-10%-50V-0805","Samsung Electro-Mechanics","CL21B103KBANNNC","Digikey","1276-1015-1-ND"
"4","1","C8","22uF-20%-25V-0805","Samsung Electro-Mechanics","CL21A226MAYNNNE","Digikey","1276-CL21A226MAYNNNECT-ND"
"5","2","C1,C2","82uF 35V","Panasonic Electronic Components","35SEPF82M","Digikey","P16345-ND"
"6","2","C3,C6","0.22uF-10%-50V-0805","KEMET","C0805C224K5RAC7800","Digikey","399-C0805C224K5RACTUCT-ND"
"7","1","D1","STPS20M100SG-TR","STmicroelectronics","STPS20M100SG-TR","Digikey","497-10993-1-ND"
"8","1","D2","15V","Nexperia","BZT52H-C15,115","Digikey","1727-3593-1-ND"
"9","1","D3","15V","Littelfuse","SZ1SMB15CAT3G","Digikey","F11544CT-ND"
"10","2","D4,D5","-- mixed values --","Dialight","5913001858F","Digikey","350-5913001858FCT-ND"
"11","1","J1","18V_OUT","WÃ¼rth Elektronik","691408720002B","Digikey","732-691408720002B-ND"
"12","1","J2","NX BUTTON","Molex","0705550041","Digikey","WM4180-ND"
"13","1","J3","CONSOLE","Molex","0705550037","Digikey","WM4176-ND"
"14","1","J4","Power","Wurth","691406510002B","Digikey","732-691406510002B-ND"
"15","1","L1","4.7 uH-8m-20%","Vishay Dale","IHLE5050FHER4R7M5A ","Mouser","70-IHLE5050FHR4R7M5A "
"16","1","Q1","CSD16322Q5","Texas Instruments","CSD16322Q5","Digikey","296-25112-1-ND"
"17","1","Q2","SI4483ADY-T1-GE3","Vishay","SI4483ADY-T1-GE3","Digikey","SI4483ADY-T1-GE3CT-ND"
"18","1","R1","4.0m-1%-2512","Bourns Inc.","CRE2512-FZ-R004E-3","Digikey","CRE2512-FZ-R004E-3CT-ND"
"19","1","R2","14.0k-1%-0805","Yageo","RC0805FR-0714KL","Digikey","311-14.0KCRCT-ND"
"20","1","R3","100R-1%-0805","Yageo","RC0805FR-07100RL","Digikey","311-100CRCT-ND"
"21","1","R4","59.0k-1%-0805","Yageo","RC0805FR-0759KL","Digikey","311-59.0KCRCT-ND"
"22","1","R9","4.99k-1%-0805","Yageo","RC0805FR-07499RL","Digikey","311-499CRCT-ND"
"23","3","R5-R7","1.05k-1%-0805","Yageo","RC0805FR-071K05L","Digikey","311-1.05KCRCT-ND"
"24","2","SW1,SW2","-- mixed values --","E-Switch","TL1105VF100Q","Digikey","EG2507-ND"
"25","1","U1","LM3478MA","Texas Instruments","LM3478MAX/NOPB","Digikey","296-38111-1-ND"
